	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	Condition
GO:0008380...1	GO:0008380	RNA splicing	352	-0.448473005720732	-1.99427871300885	1e-10	1.996e-07	1.72947368421053e-07	2200	tags=52%, list=33%, signal=37%	STRAP/PRPF38A/CWC15/SCAF1/GRSF1/SRSF4/CDC40/PRPF4B/DDX23/SUGP2/RRP1B/CWF19L2/SRRM2/SF3A2/PPP4R2/SMU1/TTF2/PRPF40A/XAB2/PTBP2/USP22/CELF1/NCBP2/CCNL1/PRPF6/ZNF638/CRNKL1/RBM23/SF3B2/CWC27/CIR1/EFTUD2/RBM4/GEMIN5/ZMAT2/ENY2/LUC7L2/PUS7/SF1/RAVER1/PRMT5/SNW1/SRRM1/AQR/SNRNP70/RBM28/IK/QKI/SRSF6/SF3A1/MTREX/KDM1A/PRPF18/THOC7/TIA1/AKAP8L/TGS1/RBM12B/MPHOSPH10/THOC6/DHX38/GEMIN4/NCBP1/RBM19/TXNL4A/ATXN7L3/SNRPG/DDX1/CCAR2/DDX17/SRSF2/THOC1/NSRP1/LUC7L3/THOC5/TRA2A/RTRAF/ZNF326/RBM39/DYRK1A/SRSF5/CWC25/SNRNP200/SYNCRIP/PUS1/THOC2/IVNS1ABP/PRPF39/SFPQ/MAGOH/SRSF11/CACTIN/CTNNBL1/PPP2CA/GEMIN6/ZRANB2/ZBTB7A/DDX39B/SNRPF/ISY1/PRPF8/ECD/SNRPD2/FAM98B/RBM15B/TXNL4B/PPP2R1A/TRA2B/SF3A3/PRPF3/PUF60/FUS/PRDX6/SNRPA/PLRG1/U2AF2/DHX9/CIRBP/SFSWAP/SNRNP40/SYF2/WDR77/PRPF31/HNRNPM/PRPF19/HNRNPR/CLNS1A/PRPF38B/EIF4A3/RPS13/CWC22/SF3B6/LSM1/PABPC1/NONO/RBMX/LSM8/SF3B1/GCFC2/LSM5/SF3B3/SRPK1/DHX15/DDX20/HNRNPC/FAM98A/ALYREF/THOC3/HNRNPU/HNRNPK/SNRPN/U2AF1L4/DDX47/C1QBP/DDX39A/RBM8A/SNRPD1/GEMIN7/HSPA1A/SRSF1/DDX5/HNRNPF/KHSRP/NPM1/SNRPD3/SLC38A2/HNRNPL/HNRNPA3/HNRNPH1/DAZAP1/RNPS1/RBM3/HSPA8/HNRNPA2B1/TARDBP/USB1/YBX1/UBL5/NCL/HNRNPA1/PTBP1/SNU13/PRMT1/WT1	Tram_vs_control
GO:0022613...2	GO:0022613	ribonucleoprotein complex biogenesis	402	-0.440448946570987	-1.98070657505668	1e-10	1.996e-07	1.72947368421053e-07	2098	tags=50%, list=32%, signal=37%	REXO4/RPL7A/MPHOSPH6/GTF2H5/MTERF3/XAB2/NLE1/RUVBL2/PTBP2/CELF1/NUFIP1/GNL3L/PRPF6/CRNKL1/PPAN/SF3B2/LAS1L/CPSF7/NOL10/WDR12/AGO2/NOB1/GEMIN5/RIOK1/RPF1/RIOK2/MRPS2/ERCC2/BRIX1/LUC7L2/SF1/NOLC1/EIF3G/PRMT5/UTP3/DHX30/EIF3D/DDX56/USP36/BMS1/RPL23A/EXOSC3/PES1/SBDS/EXOSC9/UTP15/EIF3C/SRSF6/SF3A1/MTREX/NOP53/PRPF18/HEATR1/NOP2/TGS1/WDR18/RRP9/MPHOSPH10/NOP14/MALSU1/EIF3A/NUDT21/DENR/GEMIN4/HEATR3/FCF1/EIF3F/PIN4/WDR36/NOP56/NCBP1/TXNL4A/WDR74/SNRPG/PAK1IP1/RPS7/DDX1/RPL10/DDX17/FASTKD2/LUC7L3/RRP36/RPL7/RPS27L/TBL3/PDCD11/EIF4H/UTP6/IMP3/YTHDF2/RPL10A/EIF3I/NIP7/SRFBP1/ESF1/SRSF5/EXOSC6/GTPBP4/SNRNP200/RPSA/POP7/PRPF39/UTP20/PRKDC/BYSL/GEMIN6/XRN2/RPS15/DDX39B/SNRPF/ISY1/RCL1/RPP40/TSR1/PRPF8/SNRPD2/DIMT1/NOC4L/TMA16/SF3A3/PRPF3/PUF60/PWP2/DDX52/HSP90AA1/EIF3K/DHX9/SFSWAP/RPS8/SURF6/WDR77/RRP1/RRP7A/UTP4/PRPF31/PRPF19/WDR75/NGDN/METTL5/RPS5/DDX49/DKC1/DIS3/CLNS1A/FBL/EIF4A3/PA2G4/RSL1D1/SF3B6/EIF3J/DCAF13/RPS6/WDR3/RBMX/NOP58/RPS28/NAT10/SF3B1/EIF2S3/GAR1/GLUL/LYAR/GCFC2/NOL11/SF3B3/SRPK1/DDX20/NOL6/RPS14/DDX10/MYBBP1A/EIF3B/EIF3M/KRR1/WDR46/RPF2/RPL38/RAN/WDR43/DDX47/C1QBP/UTP18/RPS24/SNRPD1/DDX18/PINX1/ABCE1/GEMIN7/XRCC5/GRWD1/SRSF1/NPM1/SNRPD3/HSP90AB1/RPLP0/UTP11/MTG2/RPL11/RPL14/C1orf109/DDX21/SNU13/RRP7BP	Tram_vs_control
GO:0016072...3	GO:0016072	rRNA metabolic process	224	-0.47180715717858	-2.00501050307913	9.37408615626171e-09	6.23689198929946e-06	5.40407844025894e-06	1975	tags=49%, list=30%, signal=35%	PPAN/LAS1L/NOL10/WDR12/NOB1/RIOK1/RPF1/RIOK2/ERCC2/BRIX1/NOLC1/UTP3/DDX56/USP36/BMS1/EXOSC3/PES1/SBDS/EXOSC9/UTP15/MTREX/NOP53/HEATR1/NOP2/WDR18/RRP9/MPHOSPH10/NOP14/GEMIN4/FCF1/PIN4/WDR36/NOP56/SMARCB1/WDR74/RPS7/DDX17/TCOF1/RRP36/RPL7/TBL3/PDCD11/UTP6/IMP3/YTHDF2/SMARCA4/RPL10A/SRFBP1/ESF1/EXOSC6/GTPBP4/POP7/UTP20/PRKDC/BYSL/XRN2/RPS15/RCL1/RPP40/TSR1/DIMT1/NOC4L/PWP2/DDX52/RPS8/RRP1/RRP7A/UTP4/WDR75/NGDN/METTL5/DDX49/DKC1/DIS3/FBL/POLR1B/EIF4A3/PA2G4/RSL1D1/DCAF13/RPS6/WDR3/NOP58/RPS28/NAT10/GAR1/LYAR/NOL11/NOL6/RPS14/DDX10/KRR1/WDR46/RPF2/WDR43/DDX47/UTP18/RPS24/POLR1E/DDX18/SLFN13/UTP11/RPL11/RPL14/NCL/DDX21/SNU13/TRIR/RRP7BP	Tram_vs_control
GO:0000377...4	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	247	-0.461292343160224	-1.98965360289691	9.05635593809353e-09	6.23689198929946e-06	5.40407844025894e-06	2226	tags=55%, list=34%, signal=38%	JMJD6/C9orf78/STRAP/PRPF38A/CWC15/SRSF4/CDC40/PRPF4B/DDX23/CWF19L2/SRRM2/SF3A2/SMU1/PRPF40A/XAB2/PTBP2/CELF1/NCBP2/PRPF6/CRNKL1/RBM23/SF3B2/CWC27/EFTUD2/RBM4/GEMIN5/ZMAT2/LUC7L2/SF1/RAVER1/PRMT5/SNW1/SRRM1/AQR/SNRNP70/IK/QKI/SRSF6/SF3A1/MTREX/KDM1A/PRPF18/TIA1/TGS1/DHX38/GEMIN4/NCBP1/RBM19/TXNL4A/SNRPG/DDX1/DDX17/SRSF2/NSRP1/LUC7L3/TRA2A/RBM39/DYRK1A/SRSF5/CWC25/SNRNP200/SYNCRIP/PRPF39/SFPQ/MAGOH/CACTIN/CTNNBL1/GEMIN6/ZBTB7A/DDX39B/SNRPF/ISY1/PRPF8/SNRPD2/RBM15B/TXNL4B/TRA2B/SF3A3/PRPF3/PUF60/PRDX6/SNRPA/PLRG1/U2AF2/DHX9/CIRBP/SFSWAP/SNRNP40/SYF2/WDR77/PRPF31/HNRNPM/PRPF19/HNRNPR/CLNS1A/EIF4A3/CWC22/SF3B6/PABPC1/RBMX/LSM8/SF3B1/GCFC2/LSM5/SF3B3/SRPK1/DDX20/HNRNPC/ALYREF/HNRNPU/HNRNPK/SNRPN/U2AF1L4/C1QBP/DDX39A/RBM8A/SNRPD1/GEMIN7/SRSF1/DDX5/HNRNPF/NPM1/SNRPD3/HNRNPL/HNRNPA3/HNRNPH1/DAZAP1/RNPS1/RBM3/HSPA8/HNRNPA2B1/UBL5/NCL/HNRNPA1/PTBP1/SNU13	Tram_vs_control
GO:0000398...5	GO:0000398	mRNA splicing, via spliceosome	247	-0.461292343160224	-1.98965360289691	9.05635593809353e-09	6.23689198929946e-06	5.40407844025894e-06	2226	tags=55%, list=34%, signal=38%	JMJD6/C9orf78/STRAP/PRPF38A/CWC15/SRSF4/CDC40/PRPF4B/DDX23/CWF19L2/SRRM2/SF3A2/SMU1/PRPF40A/XAB2/PTBP2/CELF1/NCBP2/PRPF6/CRNKL1/RBM23/SF3B2/CWC27/EFTUD2/RBM4/GEMIN5/ZMAT2/LUC7L2/SF1/RAVER1/PRMT5/SNW1/SRRM1/AQR/SNRNP70/IK/QKI/SRSF6/SF3A1/MTREX/KDM1A/PRPF18/TIA1/TGS1/DHX38/GEMIN4/NCBP1/RBM19/TXNL4A/SNRPG/DDX1/DDX17/SRSF2/NSRP1/LUC7L3/TRA2A/RBM39/DYRK1A/SRSF5/CWC25/SNRNP200/SYNCRIP/PRPF39/SFPQ/MAGOH/CACTIN/CTNNBL1/GEMIN6/ZBTB7A/DDX39B/SNRPF/ISY1/PRPF8/SNRPD2/RBM15B/TXNL4B/TRA2B/SF3A3/PRPF3/PUF60/PRDX6/SNRPA/PLRG1/U2AF2/DHX9/CIRBP/SFSWAP/SNRNP40/SYF2/WDR77/PRPF31/HNRNPM/PRPF19/HNRNPR/CLNS1A/EIF4A3/CWC22/SF3B6/PABPC1/RBMX/LSM8/SF3B1/GCFC2/LSM5/SF3B3/SRPK1/DDX20/HNRNPC/ALYREF/HNRNPU/HNRNPK/SNRPN/U2AF1L4/C1QBP/DDX39A/RBM8A/SNRPD1/GEMIN7/SRSF1/DDX5/HNRNPF/NPM1/SNRPD3/HNRNPL/HNRNPA3/HNRNPH1/DAZAP1/RNPS1/RBM3/HSPA8/HNRNPA2B1/UBL5/NCL/HNRNPA1/PTBP1/SNU13	Tram_vs_control
GO:0006397...6	GO:0006397	mRNA processing	380	-0.41305176309591	-1.84190136305863	6.44420732257006e-09	6.23689198929946e-06	5.40407844025894e-06	2234	tags=51%, list=34%, signal=36%	PTBP3/JMJD6/C9orf78/CPSF6/STRAP/PRPF38A/CWC15/SCAF1/GRSF1/SRSF4/CDC40/PRPF4B/DDX23/SUGP2/KIN/RRP1B/CWF19L2/SRRM2/SF3A2/PPP4R2/SMU1/TTF2/PRPF40A/XAB2/PTBP2/CSTF2/CSTF2T/CELF1/NCBP2/PRPF6/CRNKL1/RBM23/CPSF1/RNMT/SF3B2/PAPOLA/CWC27/CPSF7/ADARB1/CIR1/EFTUD2/RBM4/GEMIN5/ZMAT2/LUC7L2/PUS7/SF1/RAVER1/PRMT5/SNW1/SRRM1/AQR/SNRNP70/RBM28/RBM27/IK/SRRT/QKI/SRSF6/SF3A1/MTREX/CPSF3/KDM1A/PRPF18/THOC7/PABPN1/TIA1/AKAP8L/TGS1/NUDT21/THOC6/DHX38/GEMIN4/RPRD1A/NCBP1/RBM19/TXNL4A/SNRPG/DDX1/CCAR2/DDX17/SRSF2/THOC1/NSRP1/LUC7L3/SAFB2/THOC5/TRA2A/ZNF326/CSTF3/RBM39/DYRK1A/SRSF5/CWC25/SNRNP200/SYNCRIP/PUS1/THOC2/PDE12/PRPF39/SFPQ/MAGOH/SRSF11/CACTIN/CTNNBL1/GEMIN6/ZRANB2/XRN2/ZBTB7A/DDX39B/SNRPF/ISY1/PRPF8/ECD/SNRPD2/RBM15B/TXNL4B/TRA2B/PAPOLG/SF3A3/PRPF3/PUF60/PRDX6/SNRPA/PLRG1/U2AF2/DHX9/CIRBP/SFSWAP/SNRNP40/SYF2/WDR77/PRPF31/HNRNPM/PRPF19/HNRNPR/CLNS1A/PRPF38B/EIF4A3/CWC22/SF3B6/LSM1/PABPC1/NONO/RBMX/LSM8/SF3B1/GCFC2/LSM5/SF3B3/LEO1/SRPK1/DHX15/DDX20/HNRNPC/PUS7L/ALYREF/DUS3L/SSU72/THOC3/HNRNPU/HNRNPK/SNRPN/U2AF1L4/DDX47/C1QBP/DDX39A/HNRNPA0/RBM8A/SNRPD1/GEMIN7/SRSF1/DDX5/HNRNPF/KHSRP/NPM1/CPSF4/SNRPD3/HNRNPL/HNRNPA3/HNRNPH1/DAZAP1/RNPS1/RBM3/HSPA8/HNRNPA2B1/TARDBP/YBX1/UBL5/NCL/HNRNPA1/PTBP1/SNU13	Tram_vs_control
GO:0000375...7	GO:0000375	RNA splicing, via transesterification reactions	251	-0.464358713240083	-2.0022939096764	1.89014543680633e-08	1.07792294053298e-05	9.33987654939189e-06	2226	tags=55%, list=34%, signal=38%	JMJD6/C9orf78/STRAP/PRPF38A/CWC15/SRSF4/CDC40/PRPF4B/DDX23/CWF19L2/SRRM2/SF3A2/SMU1/PRPF40A/XAB2/PTBP2/CELF1/NCBP2/PRPF6/CRNKL1/RBM23/SF3B2/CWC27/EFTUD2/RBM4/GEMIN5/ZMAT2/LUC7L2/SF1/RAVER1/PRMT5/SNW1/SRRM1/AQR/SNRNP70/IK/QKI/SRSF6/SF3A1/MTREX/KDM1A/PRPF18/TIA1/TGS1/MPHOSPH10/DHX38/GEMIN4/NCBP1/RBM19/TXNL4A/SNRPG/DDX1/DDX17/SRSF2/NSRP1/LUC7L3/TRA2A/RBM39/DYRK1A/SRSF5/CWC25/SNRNP200/SYNCRIP/PRPF39/SFPQ/MAGOH/CACTIN/CTNNBL1/GEMIN6/ZBTB7A/DDX39B/SNRPF/ISY1/PRPF8/SNRPD2/RBM15B/TXNL4B/TRA2B/SF3A3/PRPF3/PUF60/PRDX6/SNRPA/PLRG1/U2AF2/DHX9/CIRBP/SFSWAP/SNRNP40/SYF2/WDR77/PRPF31/HNRNPM/PRPF19/HNRNPR/CLNS1A/EIF4A3/CWC22/SF3B6/LSM1/PABPC1/RBMX/LSM8/SF3B1/GCFC2/LSM5/SF3B3/SRPK1/DDX20/HNRNPC/ALYREF/HNRNPU/HNRNPK/SNRPN/U2AF1L4/C1QBP/DDX39A/RBM8A/SNRPD1/GEMIN7/SRSF1/DDX5/HNRNPF/KHSRP/NPM1/SNRPD3/HNRNPL/HNRNPA3/HNRNPH1/DAZAP1/RNPS1/RBM3/HSPA8/HNRNPA2B1/UBL5/NCL/HNRNPA1/PTBP1/SNU13	Tram_vs_control
GO:0042254...8	GO:0042254	ribosome biogenesis	273	-0.436090075622806	-1.90573208887059	6.40702526422365e-08	3.1971056068476e-05	2.7701953971367e-05	1975	tags=47%, list=30%, signal=34%	PPAN/LAS1L/NOL10/WDR12/NOB1/RIOK1/RPF1/RIOK2/MRPS2/ERCC2/BRIX1/NOLC1/UTP3/DHX30/DDX56/USP36/BMS1/RPL23A/EXOSC3/PES1/SBDS/EXOSC9/UTP15/MTREX/NOP53/HEATR1/NOP2/WDR18/RRP9/MPHOSPH10/NOP14/MALSU1/GEMIN4/HEATR3/FCF1/PIN4/WDR36/NOP56/WDR74/PAK1IP1/RPS7/RPL10/DDX17/FASTKD2/RRP36/RPL7/RPS27L/TBL3/PDCD11/UTP6/IMP3/YTHDF2/RPL10A/NIP7/SRFBP1/ESF1/EXOSC6/GTPBP4/RPSA/POP7/UTP20/PRKDC/BYSL/XRN2/RPS15/RCL1/RPP40/TSR1/DIMT1/NOC4L/TMA16/PWP2/DDX52/RPS8/SURF6/RRP1/RRP7A/UTP4/WDR75/NGDN/METTL5/RPS5/DDX49/DKC1/DIS3/FBL/EIF4A3/PA2G4/RSL1D1/DCAF13/RPS6/WDR3/NOP58/RPS28/NAT10/GAR1/GLUL/LYAR/NOL11/NOL6/RPS14/DDX10/MYBBP1A/KRR1/WDR46/RPF2/RPL38/RAN/WDR43/DDX47/C1QBP/UTP18/RPS24/DDX18/PINX1/ABCE1/XRCC5/GRWD1/NPM1/RPLP0/UTP11/MTG2/RPL11/RPL14/C1orf109/DDX21/SNU13/RRP7BP	Tram_vs_control
GO:0010628...9	GO:0010628	positive regulation of gene expression	450	-0.38250001312504	-1.74772649588012	8.61720118858695e-08	3.82220746053768e-05	3.31182726382418e-05	997	tags=23%, list=15%, signal=21%	FUS/PRDX6/U2AF2/HSP90AA1/DHX9/CIRBP/MYC/WDR77/EIF2AK2/SPI1/RBPJ/PASK/PRPF19/KDM5B/POLR3B/PHF2/TP53BP1/METTL5/SPN/KLKB1/GLMN/CLNS1A/IRF3/PNP/EIF4A3/NCK2/MAP2K2/SELENOK/TRIM16/HNRNPAB/PABPC1/RBMX/NAT10/EIF2S3/HNRNPC/FAM98A/TFRC/DNAJA4/BRAF/HNRNPU/POU2F2/SP1/C1QBP/PLSCR1/HNRNPA0/ANGEL2/TUSC2/DHX34/RBMS3/CHEK1/RGCC/ELAVL1/GAPDH/LDLR/HSPA1A/RUNX1/HMGN5/DDX5/RPS3/NPM1/HDAC2/SLC38A2/HNRNPL/TESC/G3BP1/DAZAP1/PIK3R3/DNMT1/RBM3/HSPA8/MIF/MNDA/FERMT1/PDE4B/RPL11/TARDBP/KMT5B/EIF5A/BCL11A/NSD2/YBX1/HNRNPD/NCL/DDX21/TGFB1/EEF2/ALDH1A2/BATF/CCL5/CALR/GBP5/RAB7B/SMARCD1/HK1/AZU1/ZNF580/WT1/KLK3/ACTG1/ELANE/CHI3L1/EPX/PRG2	Tram_vs_control
GO:0006364...10	GO:0006364	rRNA processing	202	-0.467967395091221	-1.9642306459678	2.48105830884798e-07	9.00398615356467e-05	7.80168191662628e-05	1975	tags=50%, list=30%, signal=36%	PPAN/LAS1L/NOL10/WDR12/NOB1/RIOK1/RPF1/RIOK2/ERCC2/BRIX1/NOLC1/UTP3/DDX56/USP36/BMS1/EXOSC3/PES1/SBDS/EXOSC9/UTP15/MTREX/NOP53/HEATR1/NOP2/WDR18/RRP9/MPHOSPH10/NOP14/GEMIN4/FCF1/PIN4/WDR36/NOP56/WDR74/RPS7/DDX17/RRP36/RPL7/TBL3/PDCD11/UTP6/IMP3/YTHDF2/RPL10A/SRFBP1/ESF1/EXOSC6/GTPBP4/POP7/UTP20/PRKDC/BYSL/XRN2/RPS15/RCL1/RPP40/TSR1/DIMT1/NOC4L/PWP2/DDX52/RPS8/RRP1/RRP7A/UTP4/WDR75/NGDN/METTL5/DDX49/DKC1/DIS3/FBL/EIF4A3/PA2G4/RSL1D1/DCAF13/RPS6/WDR3/NOP58/RPS28/NAT10/GAR1/LYAR/NOL11/NOL6/RPS14/DDX10/KRR1/WDR46/RPF2/WDR43/DDX47/UTP18/RPS24/DDX18/UTP11/RPL11/RPL14/DDX21/SNU13/RRP7BP	Tram_vs_control
